iter	RMSE
0	47.5411182
1	46.17439432
2	44.79490668
3	43.496552
4	42.29609334
5	41.09858857
6	40.05870862
7	39.05641855
8	38.10138265
9	37.25703734
10	36.35540477
11	35.56381436
12	34.82149663
13	34.08486612
14	33.38661394
15	32.73302067
16	32.14310214
17	31.55555791
18	30.98764449
19	30.41898977
20	29.92771431
21	29.45089245
22	28.95949591
23	28.53814638
24	28.14760189
25	27.74261906
26	27.3819819
27	27.05744697
28	26.74290035
29	26.40525388
30	26.06914849
31	25.81340738
32	25.56898634
33	25.3108226
34	25.06812492
35	24.79000508
36	24.5742603
37	24.33992803
38	24.14043025
39	23.92941427
40	23.74090662
41	23.52525425
42	23.36196038
43	23.19835343
44	23.02321719
45	22.85801693
46	22.70540314
47	22.56540884
48	22.43882357
49	22.27899184
50	22.17298084
51	22.03310906
52	21.93461148
53	21.80185739
54	21.68234351
55	21.56548831
56	21.45675249
57	21.35349983
58	21.24630463
59	21.14863141
60	21.03464322
61	20.96045824
62	20.87614636
63	20.78053577
64	20.71637165
65	20.65281897
66	20.59627024
67	20.53199738
68	20.46205568
69	20.38910559
70	20.32325435
71	20.23703099
72	20.16594671
73	20.10472404
74	20.03538828
75	19.96474051
76	19.89340902
77	19.84086998
78	19.7899296
79	19.75117633
80	19.69818553
81	19.64924023
82	19.60130747
83	19.54810537
84	19.50700006
85	19.43934708
86	19.40100215
87	19.34502715
88	19.31038845
89	19.27145879
90	19.21730263
91	19.16250445
92	19.12584009
93	19.08761646
94	19.03296562
95	18.98536952
96	18.94299482
97	18.8847602
98	18.84711274
99	18.79007248
100	18.74711165
101	18.69724217
102	18.65890567
103	18.62759996
104	18.58302838
105	18.54968357
106	18.48970776
107	18.43754503
108	18.39879451
109	18.37762142
110	18.33936938
111	18.30766049
112	18.2620094
113	18.23128859
114	18.18177858
115	18.16470168
116	18.1409744
117	18.11785705
118	18.09228122
119	18.06209304
120	18.02904842
121	18.00180204
122	17.96884911
123	17.93477511
124	17.90268977
125	17.86075189
126	17.81615895
127	17.78904608
128	17.75266068
129	17.72423314
130	17.69728798
131	17.67152623
132	17.64762334
133	17.60961768
134	17.55538001
135	17.52755057
136	17.50601429
137	17.47797636
138	17.43752938
139	17.40663685
140	17.37704205
141	17.35426118
142	17.33209458
143	17.30328536
144	17.28682611
145	17.26337288
146	17.24621207
147	17.21339591
148	17.18564378
149	17.16356823
150	17.13682149
151	17.1126557
152	17.08964239
153	17.06401663
154	17.04492628
155	17.0103014
156	16.99939188
157	16.96731575
158	16.94211844
159	16.91662865
160	16.89307393
161	16.87893878
162	16.85019672
163	16.82884207
164	16.80225382
165	16.77849688
166	16.75351286
167	16.73460919
168	16.71926759
169	16.70233613
170	16.68833724
171	16.65713985
172	16.63576251
173	16.61258866
174	16.59426101
175	16.57027431
176	16.55198089
177	16.53093548
178	16.51940973
179	16.49740585
180	16.47795739
181	16.46031885
182	16.42806202
183	16.39941911
184	16.37798327
185	16.35757203
186	16.33479388
187	16.31936155
188	16.29202625
189	16.27558653
190	16.25514556
191	16.23619376
192	16.2152684
193	16.20041007
194	16.18237347
195	16.15346945
196	16.13678328
197	16.11555497
198	16.10388941
199	16.07703962
200	16.04948651
201	16.02966722
202	16.01006132
203	15.98685231
204	15.96592617
205	15.94951363
206	15.92878398
207	15.91237894
208	15.8916676
209	15.87408406
210	15.85718171
211	15.83843102
212	15.82224493
213	15.79409176
214	15.7750515
215	15.75390539
216	15.7396981
217	15.71885249
218	15.69803706
219	15.68349214
220	15.66518875
221	15.65059555
222	15.61957292
223	15.60095838
224	15.58181147
225	15.55183196
226	15.53386746
227	15.51689543
228	15.49687133
229	15.48528112
230	15.47228283
231	15.45136635
232	15.43730584
233	15.41951521
234	15.40363024
235	15.38353395
236	15.36482082
237	15.3477869
238	15.33215382
239	15.32033773
240	15.30771849
241	15.29261759
242	15.27166541
243	15.25700834
244	15.23839998
245	15.22822866
246	15.21009039
247	15.19109612
248	15.18009306
249	15.16904175
250	15.15512059
251	15.13807691
252	15.12481799
253	15.10885424
254	15.09611773
255	15.08754265
256	15.07214484
257	15.05588796
258	15.04532926
259	15.0377982
260	15.02085442
261	15.00380333
262	14.99023528
263	14.97937312
264	14.95854809
265	14.95140922
266	14.9415296
267	14.93103189
268	14.91672684
269	14.89809054
270	14.88334973
271	14.85678708
272	14.84540821
273	14.82148316
274	14.81271998
275	14.79795953
276	14.7831562
277	14.77568701
278	14.75772744
279	14.74634663
280	14.73020573
281	14.71423593
282	14.70633791
283	14.70136978
284	14.69089565
285	14.68327109
286	14.66746716
287	14.65515967
288	14.63611155
289	14.61978431
290	14.5995062
291	14.58512709
292	14.57965256
293	14.56854067
294	14.54756203
295	14.53990073
296	14.53074135
297	14.50981804
298	14.50203265
299	14.48440273
300	14.47637932
301	14.46060764
302	14.44609214
303	14.43155113
304	14.42655711
305	14.40526021
306	14.39992291
307	14.37644278
308	14.36771826
309	14.36194513
310	14.34078378
311	14.33186518
312	14.30683972
313	14.28898884
314	14.27746361
315	14.26920478
316	14.25505095
317	14.23742565
318	14.22564457
319	14.20730018
320	14.20121528
321	14.18842134
322	14.17364686
323	14.16643418
324	14.15040702
325	14.14304561
326	14.13241565
327	14.12003027
328	14.11232789
329	14.10139155
330	14.09271599
331	14.08353223
332	14.07711522
333	14.06117037
334	14.04754914
335	14.03752405
336	14.02351102
337	14.0160012
338	14.00234642
339	13.99499066
340	13.9832999
341	13.97039477
342	13.95174092
343	13.93898964
344	13.91823205
345	13.90284369
346	13.88982152
347	13.86388606
348	13.8482737
349	13.83499511
350	13.81764851
351	13.81059861
352	13.79277724
353	13.7847874
354	13.77952002
355	13.7676804
356	13.74860394
357	13.73872234
358	13.7327694
359	13.71910476
360	13.70404986
361	13.69544828
362	13.68750852
363	13.67165218
364	13.66326417
365	13.65782924
366	13.6470321
367	13.64157552
368	13.6284771
369	13.61826828
370	13.61263488
371	13.60228751
372	13.58312416
373	13.56368912
374	13.55608986
375	13.54991082
376	13.54532659
377	13.53645041
378	13.51823512
379	13.50067661
380	13.49367528
381	13.47792078
382	13.46072591
383	13.45375896
384	13.44072512
385	13.42615841
386	13.41395903
387	13.4012625
388	13.38788706
389	13.37267778
390	13.35874125
391	13.35005455
392	13.34486904
393	13.33091096
394	13.32071456
395	13.31596514
396	13.30307517
397	13.29675357
398	13.28528441
399	13.26548177
400	13.25354155
401	13.24395914
402	13.23698264
403	13.23265943
404	13.21466912
405	13.19610527
406	13.19064536
407	13.17270121
408	13.16406781
409	13.15919606
410	13.15141777
411	13.14312565
412	13.13602539
413	13.1273346
414	13.11707217
415	13.10648044
416	13.09198933
417	13.07646327
418	13.06571377
419	13.05458873
420	13.03921472
421	13.02562898
422	13.01659808
423	13.01262209
424	13.00635929
425	12.99756572
426	12.9883206
427	12.9820864
428	12.97475266
429	12.95290757
430	12.94391576
431	12.93399932
432	12.92355491
433	12.90742569
434	12.89922368
435	12.8868046
436	12.87427088
437	12.8672818
438	12.8593702
439	12.84882655
440	12.84394996
441	12.83000686
442	12.81366356
443	12.80696609
444	12.79223317
445	12.77881636
446	12.77077852
447	12.76411637
448	12.76086479
449	12.75467377
450	12.74943285
451	12.74154734
452	12.72787758
453	12.71975425
454	12.7125603
455	12.70467477
456	12.70123457
457	12.69465136
458	12.69036941
459	12.68721692
460	12.67944936
461	12.66313423
462	12.65654128
463	12.65007825
464	12.64317712
465	12.62831525
466	12.62202008
467	12.61369423
468	12.60118349
469	12.59634292
470	12.58363884
471	12.57472744
472	12.56374986
473	12.55590439
474	12.54677638
475	12.53587103
476	12.52357952
477	12.51196399
478	12.49750635
479	12.48695493
480	12.47748627
